OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,7825,4487,4883,9898,3223,552,4691,3931,5839,1894
+,2137,9882,4861,3643,3186,8409,9722,6774,6604,4237
+,5327,847,9039,5990,7074,7912,7450,9730,2455,4669
+,9486,8109,5921,5564,1484,4904,6115,4207,6831,5089
+,3098,512,3946,323,6364,560,5322,4286,543,1551
-,588,0,0,0,0,0,0,0,0,0
+,7769,8515,2611,5372,644,9397,7899,7952,4397,9536
+,4113,8747,9818,3077,2719,506,1178,5775,8231,7656
+,203,6571,1140,323,2261,3722,7289,1361,7596,4648
+,6600,8490,3911,5956,7332,4901,9033,7428,7901,5671
+,6997,4047,3145,1348,9854,7918,9375,7647,5168,5405
+,9827,8070,4291,1183,959,6440,8591,8137,5609,8882
+,227,5064,6304,1531,1227,3485,814,1760,6269,5039
+,2778,9664,7106,9954,8694,2389,3023,148,7654,1274
+,522,2672,7410,5004,2080,2721,4899,5723,4105,2490
-,27,0,0,0,0,0,0,0,0,0
+,143,1535,3337,3457,2074,6015,4413,3694,2338,8467
+,7862,8233,9681,6469,2240,9898,6998,4314,3351,1726
+,3377,5332,3353,6123,124,5971,8171,5463,9460,2508
+,6381,9986,3280,600,157,5446,8370,9640,2503,3366
+,7328,4853,9840,4953,2734,6592,4874,7730,4196,8599
+,2196,8600,1973,4497,7313,6752,3255,9720,8397,9436
+,9344,9960,6021,1390,3134,8419,2931,7240,5787,1071
+,2894,2621,4193,4103,4601,998,3633,5667,2912,4552
+,8783,246,8622,3459,7559,4087,4558,2903,306,9821
+,6551,2648,1935,132,7729,161,9917,2522,2070,1480
+,6609,1341,9201,7017,8483,2815,2559,7848,7340,8443
+,2783,8750,2167,7863,6155,9488,6616,8187,2778,3352
+,2180,1030,3294,5219,464,325,6343,534,8273,3892
+,3396,3529,9259,8106,5700,5759,1455,8185,2634,4651
+,935,1195,9030,4624,7903,9990,1854,783,9235,9044
+,140,4641,3038,3336,4275,8887,6636,4294,4007,7487
+,8559,6577,6496,6840,4453,2372,3091,5238,1345,7445
+,4069,2788,9374,8468,9439,8603,443,5888,6194,449
+,8519,5612,2243,8518,801,1372,1734,7546,1321,7909
+,8029,6813,6321,2381,1835,1475,6128,2924,6565,1581
+,9349,7838,4847,3701,7111,9538,1385,5209,7236,7309
+,2113,1577,2635,4445,7192,7524,5987,4737,6772,6380
+,3804,7435,1094,4643,251,9969,135,9244,9225,4871
+,1848,5092,5594,950,2562,3544,2205,793,5839,7770
+,7415,1483,2976,6651,8751,9137,3756,896,1423,5330
+,3960,6780,6201,2848,6261,3427,2785,4313,7899,2403
+,17,2835,5548,7258,6494,8926,7327,9190,3429,5556
+,6885,8882,9984,9407,6636,823,1027,7518,568,5442
+,9887,471,2577,1812,5743,6253,6868,5675,9037,8056
+,6102,2260,493,311,5464,1207,1655,5297,4731,2074
+,9681,5153,1028,6227,7106,6161,2926,7341,9138,5140
+,4000,3218,4455,3966,3749,3446,3100,2009,243,5878
+,6994,9618,436,8956,4499,8955,3613,6889,1366,887
+,1052,8895,3568,7652,6609,8620,8574,273,9811,2197
-,70,0,0,0,0,0,0,0,0,0
+,1893,8372,8661,4698,88,2554,512,5164,5875,4351
+,3328,404,6027,858,8361,7060,5155,2420,3145,1939
+,2883,845,5767,2194,5541,8803,3592,2512,435,2708
-,989,0,0,0,0,0,0,0,0,0
+,6345,8854,6664,9894,9512,8228,6661,5529,6610,9995
+,2026,3860,277,6621,8590,9349,485,7756,1917,2332
+,538,3610,6680,2992,49,2514,574,2137,3999,7894
+,7468,185,5189,627,7850,6835,2941,2389,9481,6981
+,1077,2413,813,2611,8174,2924,4460,5851,3009,503
+,3260,1493,4433,1877,6016,6300,6009,1103,1043,5610
+,6977,845,7473,7196,9131,3204,184,4650,5590,3363
+,6235,3488,7941,7245,8214,7315,9723,4080,6276,7375
+,7451,3447,7832,1756,2133,5898,2401,4256,9949,3003
+,8927,472,1923,3886,8100,5772,170,3003,5322,6081
+,9124,630,4349,8086,4392,8671,598,9355,9621,7083
+,3223,3232,5783,1830,9340,3434,8609,6845,4931,913
+,4149,8117,642,1824,4640,2791,6792,9065,7715,9936
+,1556,6140,5855,5461,9736,6744,4827,4077,2108,1172
+,3141,759,6211,3104,2782,1736,8376,3277,9946,5561
+,5977,6104,5615,2374,6409,6674,1758,2904,2539,8663
+,4752,7265,7062,6886,8660,7542,2348,1834,3326,1640
+,3833,4043,2058,61,4594,8470,3109,437,1163,6953
+,4204,4232,8623,9618,1299,9292,8120,8566,5,5667
+,9695,6955,4297,7642,5473,8591,6007,1935,3826,3500
+,6070,6223,160,6823,2872,448,3172,5835,9385,7851
-,307,0,0,0,0,0,0,0,0,0
+,2187,6438,5407,2457,3802,8055,646,1119,4903,4888
-,222,0,0,0,0,0,0,0,0,0
+,6444,8030,9155,986,768,6386,2679,1940,5475,9301
+,3531,9927,3229,9093,8402,8512,3696,5511,1221,6702
+,328,1909,9524,3263,4115,9163,6031,5227,5215,777
+,8273,9930,8649,5612,192,1076,7695,5007,7527,137
+,6681,3385,7792,5715,903,7702,1370,1450,9218,4549
+,3369,4362,6653,9680,5247,3861,9088,9994,856,188
-,293,0,0,0,0,0,0,0,0,0
+,6933,8882,3663,2872,5200,9369,5676,6562,7601,2726
+,7880,6345,6226,6998,3681,7726,988,229,1557,6889
-,138,0,0,0,0,0,0,0,0,0
+,6962,2564,2050,4736,5159,7722,5971,5311,6604,1475
+,7172,6648,5139,4974,1420,3778,6323,3274,6308,8064
-,765,0,0,0,0,0,0,0,0,0
+,9142,5749,3405,8265,5132,931,814,6038,3827,4697
+,5211,9094,7845,4599,3851,3609,1049,1428,6929,7473
+,3201,236,9803,3796,8398,5948,2794,5946,8219,7796
+,6614,5900,6412,5700,394,8971,3651,3273,725,2515
+,2294,2341,4313,9017,4782,5296,4137,5390,3096,1923
+,8212,7837,123,624,7066,9304,7180,9442,1471,1049
-,215,0,0,0,0,0,0,0,0,0
+,2934,3781,2839,2389,6909,3333,4756,5584,8614,1173
+,6900,8209,1870,3982,3506,7712,9957,9562,5103,3283
+,6011,4747,2527,5705,5424,8426,7588,6684,9591,8633
+,8868,272,8207,8770,6457,3099,9996,9171,4929,795
+,4653,6401,6483,4895,9789,5056,150,3232,3155,5028
+,6466,4296,5133,6410,8602,7939,1490,3139,2125,8269
+,9242,6680,5339,7690,7619,8994,5755,6846,7602,922
+,5072,6003,5897,689,9182,1111,5530,7671,2498,4412
+,5687,7857,2832,183,3460,8032,9475,1147,7106,2619
+,1687,3666,9634,8533,2074,9555,6266,5147,3188,4527
-,954,0,0,0,0,0,0,0,0,0
+,4481,253,3393,3338,8399,8744,7953,4678,2090,5496
-,535,0,0,0,0,0,0,0,0,0
-,48,0,0,0,0,0,0,0,0,0
-,572,0,0,0,0,0,0,0,0,0
+,8773,897,7349,2122,3572,4216,3131,1324,4792,6342
+,4979,6124,9110,8602,112,3268,1136,8215,3184,4646
+,5748,5560,5972,5239,6643,2067,9880,6861,2910,3029
+,2987,2895,4302,9436,5587,239,9358,7859,5280,8525
+,3800,1681,6270,1254,899,7322,5586,3969,9788,640
+,2921,4476,2074,6340,5811,3848,7142,3864,4149,321
+,3454,5560,1911,3224,396,8633,7019,7108,9318,3908
+,1013,130,3395,2481,9680,662,8116,5739,1783,7028
+,7074,996,2644,4070,7602,1062,1506,1328,1982,9360
+,9922,5004,3303,5995,4387,1734,8216,5417,9574,2892
+,976,5354,3057,9407,3183,6138,3032,3506,244,7822
+,3228,7014,750,6728,4938,2797,8484,9137,518,6250
+,732,3946,4308,4654,8526,9467,7429,580,2290,4886
+,9447,6566,1385,182,4183,5766,6123,6159,4973,9032
+,4354,8483,4733,322,8341,3021,9630,8276,7736,427
+,2744,8250,2937,5583,9389,8295,8720,3831,7142,1229
+,9717,3899,3737,4446,4365,6301,6003,4050,8781,3966
+,3308,4461,826,9183,6108,6310,1454,5165,4012,7354
+,4746,6309,6880,3975,2611,4323,1547,9619,8378,4226
-,997,0,0,0,0,0,0,0,0,0
-,357,0,0,0,0,0,0,0,0,0
+,4192,9525,5923,3024,7176,6259,8432,4389,4096,9502
+,5668,8870,6392,6874,8131,6710,8630,3691,9053,5766
-,281,0,0,0,0,0,0,0,0,0
-,345,0,0,0,0,0,0,0,0,0
+,2951,2000,5201,8165,5473,1555,2906,7391,8222,5809
+,9607,7880,9730,7023,4124,9768,9641,9890,5554,6003
+,1293,5344,6158,295,993,1326,9365,4470,2202,8590
+,6361,8342,6152,8207,1324,848,6715,8778,5011,1923
-,488,0,0,0,0,0,0,0,0,0
+,4286,9461,1960,4163,4414,6533,4881,8248,2498,46
+,7508,9061,8802,1544,8829,8438,7156,664,7194,4436
+,6727,6221,4571,7928,6425,9806,3708,5379,828,4844
+,7781,3162,7705,6274,6942,3873,6232,2539,7783,2117
+,6703,8765,6,3411,5790,7697,1326,3450,5819,9574
+,4588,960,1409,2973,7114,8651,1510,7946,5394,1682
+,1275,3610,6394,6074,9504,7993,8743,3129,8226,314
+,3024,5704,9569,7579,3804,652,7962,8642,617,7221
+,3026,9820,8235,9830,5400,7419,5261,8744,2849,8034
+,8284,4443,1697,52,2125,5715,9887,8031,3889,949
-,210,0,0,0,0,0,0,0,0,0
+,1882,8925,5006,87,7805,4112,8180,4853,2741,8100
+,8502,8251,6360,3500,7820,4446,9507,4988,5283,9988
-,118,0,0,0,0,0,0,0,0,0
+,4707,4437,2252,461,6164,3954,9326,564,5301,5293
+,4001,8555,6986,6055,9781,8516,246,9090,7813,4451
+,7941,9362,6673,9062,5083,5002,1027,1324,6367,9249
+,7549,3705,9402,593,8697,180,764,8647,6050,1205
-,596,0,0,0,0,0,0,0,0,0
-,876,0,0,0,0,0,0,0,0,0
+,6059,9968,2013,5484,8370,9805,3496,1296,8159,428
+,4856,7162,4029,6310,1777,6447,601,8838,6415,7222
+,1036,5100,101,2666,2840,5267,2182,3782,3966,5045
+,107,6344,3742,7361,1146,2603,8889,8128,7849,1503
+,7231,4602,6549,4697,1596,5250,5667,7299,4381,3369
+,7853,8269,6825,2541,2301,6879,5529,5072,9257,9317
+,3978,5494,5760,8578,2369,6307,8316,1259,1504,4280
-,928,0,0,0,0,0,0,0,0,0
+,1371,8554,1640,8337,7798,5408,3137,4358,9720,7613
+,8668,4334,5882,8343,3866,6655,7159,5377,3820,6088
+,8879,5767,2762,8398,9779,9300,7953,3520,1106,4618
+,7563,2633,1480,7055,8812,1131,358,3048,7418,7307
+,9510,3655,5022,3295,6784,2399,8089,2814,9062,6568
+,2668,608,6852,7106,5602,4998,1157,5500,7226,8077
+,2069,8493,4518,7823,4639,7472,3939,4963,3070,3664
+,9661,966,5697,3323,9639,1331,957,697,4903,6048
+,4468,7374,8313,4491,6096,1593,6499,2277,7612,2998
+,6813,6781,7240,2244,7669,4960,9567,2354,1758,3898
+,9831,223,8391,4809,7836,5243,3828,6209,2839,2925
+,1704,4337,9984,833,4708,5367,2815,5649,5419,7324
+,5179,2151,6600,2936,7487,3376,9669,2713,8274,5348
+,7753,7132,1829,6230,7476,8543,5385,2551,4818,5120
+,7319,6241,573,7508,9557,3619,4655,7728,3522,8247
+,4046,5719,6696,7005,8322,5343,1970,579,7381,4475
+,5018,2654,6101,3529,562,1888,2975,815,4719,7033
+,7058,3366,7417,9410,3965,2728,3205,4945,6712,2243
+,1151,1878,6400,3383,4169,6977,922,8357,4299,8792
+,7750,1882,6931,3583,3433,7918,4412,3814,343,8142
+,1536,499,2283,9589,7138,9492,4331,2880,4737,2265
+,9159,6062,7231,9665,8549,4202,8523,1041,1209,8637
+,3725,2790,6177,9930,6218,1017,9190,1420,114,8501
+,9192,1512,8050,4362,6049,5060,3249,8865,7904,8120
+,8846,4377,3217,6462,1664,5407,4034,8803,5660,2789
+,1492,7561,7420,7812,439,9461,3005,5547,9463,6527
-,942,0,0,0,0,0,0,0,0,0
+,9804,2914,2191,5208,8223,412,3591,6432,558,9423
+,7891,8465,8741,7021,4877,8050,7439,9902,7575,6095
-,274,0,0,0,0,0,0,0,0,0
+,623,2085,2734,1326,673,7087,3342,311,7460,2243
+,2329,7181,1950,1454,7424,9295,5805,2441,6833,7543
+,3567,315,9092,2332,1102,2024,1567,4306,6340,3487
+,4593,869,6258,6205,6279,9458,3976,6610,8638,2274
+,2477,8896,8196,1818,1269,5953,509,6106,6986,5763
+,9128,6415,4545,8558,7378,7357,6948,8422,670,5551
+,5682,9981,6569,6279,5932,3740,4156,4780,324,6205
+,3309,1462,8395,9449,5482,7815,4757,2465,9819,2724
+,573,9459,2028,4741,1880,1434,6634,2206,7126,6218
+,1199,5428,3029,6169,3043,6051,3636,6153,9617,6893
+,5365,3037,311,1106,8540,6695,3937,8790,6143,7307
+,9630,3787,10000,5078,2873,8612,5598,88,233,8264
+,4153,5402,3013,7669,1433,3030,9111,1011,1230,1295
+,9363,4076,3438,6105,3639,6658,7013,4260,9535,179
+,8794,9597,1575,1446,4334,4472,2293,6622,2859,7657
+,1998,9380,6689,8562,274,5288,4114,1055,4977,28
+,2432,1792,6599,2444,6909,6139,6350,3981,6618,6955
+,6368,9774,6346,8623,7383,3028,2697,5139,2714,515
+,901,3133,5410,272,2118,3554,2077,7017,8050,8404
+,7736,4845,482,1829,3165,9911,6955,1943,6675,5340
+,9376,204,5005,4897,6142,4460,1381,7670,7951,5745
+,7426,3050,882,5218,1698,3695,2317,574,3665,5871
+,5749,5965,1513,8144,1635,8416,2260,2453,3225,9460
+,9658,3709,7550,7844,7639,2661,8605,3605,735,6414
+,1992,726,4236,1376,1438,7583,9800,8812,8458,9855
+,1388,8536,207,2554,4360,4027,3250,3305,1227,3796
+,7760,4166,323,3619,9149,5324,9596,5016,2684,6388
+,4344,6893,3230,5800,8599,7253,8352,1880,5926,8139
+,8550,501,2526,7999,6730,2225,1275,5438,3258,6203
+,2320,6985,6683,5930,8172,9850,9007,3644,1920,6631
+,8789,2447,3887,8985,5533,4813,5564,7013,690,4334
+,86,533,8119,4447,9756,5583,8532,8792,8235,3846
+,9996,2075,6055,9199,5506,3534,8054,629,5236,1239
+,216,6011,5154,1380,6152,3256,6761,8509,8860,3483
-,910,0,0,0,0,0,0,0,0,0
+,7100,2440,6831,3838,6135,515,8895,3203,4689,812
+,7768,4572,4924,1407,7462,1163,8622,1751,6267,1579
+,2068,4354,1870,4899,8102,8002,437,7694,7580,9125
+,7004,9254,2289,8579,9185,3944,4554,680,6211,8383
+,9094,6053,7362,254,5511,5026,8548,4308,638,8073
+,9319,5646,2762,7153,7182,3985,4998,4893,3611,7487
+,6358,2971,6535,9806,5174,3901,1006,3805,1921,4234
+,3540,4367,7256,8434,1575,7008,907,6498,6075,1448
+,4961,466,5812,5784,4925,4759,9322,470,9615,705
+,5343,5236,9584,5054,6311,1586,903,9376,347,727
+,6891,6622,1259,3397,1022,2288,2192,4370,1000,179
+,8217,7949,4593,8313,2651,5005,9950,5689,9211,5231
+,3792,2742,276,1359,839,4939,5,8333,7268,1077
+,3423,9234,1246,1286,6416,6027,7637,5615,3732,4005
+,1721,8587,2348,9108,6496,7067,3898,2002,8789,1458
-,904,0,0,0,0,0,0,0,0,0
+,2086,7761,2687,4758,119,9432,9320,8851,6915,4929
+,1821,8588,193,9950,2242,5490,7080,5389,4845,702
+,8098,7619,1988,3005,9827,7276,1738,8644,5106,3180
+,4508,122,1468,8438,6885,3363,3500,423,9337,6098
+,1785,9362,8331,5055,3887,3160,6647,112,4551,7078
+,4010,8848,9837,1138,1831,87,4565,1175,7061,8034
+,7792,9432,1557,1598,2287,5834,1100,8744,4108,9951
+,2746,9125,1328,2795,1029,5245,4073,4570,2017,6255
+,8847,2073,3526,4441,5255,9331,7273,1360,4152,684
+,7677,1968,7821,2970,4418,3183,257,8371,8696,1111
+,3710,4039,3124,4853,9966,1312,6743,6262,6218,2769
+,6265,2030,3414,9267,192,6513,7848,2155,6503,8299
+,4735,7909,6781,8691,6253,8848,9357,9687,5095,3627
+,7664,4792,2898,1747,2115,863,4542,2551,7010,1643
+,3970,4353,7403,698,3348,4673,9372,9601,4834,9231
-,380,0,0,0,0,0,0,0,0,0
+,4498,5271,6582,2769,9576,8090,4121,5433,5175,5974
+,7752,5773,810,3966,5503,5029,3070,2228,1931,9009
+,8544,2978,7248,2329,3593,1124,8047,712,8072,1906
+,6824,271,8810,9688,8384,3956,2198,2034,8993,8379
+,4776,227,1419,4186,7929,1696,4717,1416,5711,8911
+,1044,1325,1715,8045,7044,9987,6483,6013,2224,6651
+,7124,3300,6176,7529,6492,2796,2061,2890,4614,92
+,388,5401,5983,1779,2181,9524,342,3987,1154,4388
+,166,9104,7255,5668,6548,6354,3008,5651,8670,7253
+,7967,8485,48,7055,7154,9578,3217,2921,3035,3463
+,9389,3206,7385,3846,4419,309,821,7510,4421,1798
+,779,1869,7235,1779,174,6894,564,4663,9052,800
+,1669,2023,9140,7416,9709,5070,4489,7754,8396,2556
+,3221,5028,173,3160,8968,1094,6657,4006,3045,5352
-,562,0,0,0,0,0,0,0,0,0
+,1846,6779,2355,56,8748,6190,515,4309,1854,2217
+,1450,2711,8873,4836,2430,2293,2744,5887,5957,6153
+,5086,648,1502,5229,757,8426,3240,9952,5330,7514
+,1889,6425,3859,8501,1927,1290,6951,3591,328,6604
+,9509,8981,5491,1954,9934,2696,1614,3185,5237,2651
-,265,0,0,0,0,0,0,0,0,0
+,5837,4145,7190,610,9508,7890,6263,368,5716,451
+,158,7062,3849,6633,4527,9628,2863,9858,1083,577
+,9850,5763,4121,9218,3171,1106,110,3873,722,1498
+,5485,9649,1317,9310,5023,6577,3375,6014,2126,9582
+,223,3966,6257,710,506,2686,9966,9979,4261,9457
+,8489,2615,3155,4762,9115,8619,3629,1576,8601,383
-,707,0,0,0,0,0,0,0,0,0
+,9285,8498,8039,9670,8988,7091,2122,8090,2016,5776
+,6653,8215,5248,7247,6175,574,2533,6843,9319,2151
+,7727,6223,4922,9309,3476,3356,3435,1757,5441,8802
+,8631,2311,1558,9436,5300,9235,5843,4273,6706,2795
+,4346,8559,835,1065,5585,2846,6723,3907,7670,8378
+,8355,8006,8194,7246,9074,3466,1383,5907,9283,7026
+,8547,5473,1479,8246,6322,9406,2321,4835,1158,3246
+,2699,9456,7156,8305,2108,1384,1859,3298,2467,4804
+,9464,373,5766,6628,1760,1985,555,6878,2451,3040
+,9857,2703,6558,5406,1763,4809,9352,3324,3199,642
+,7901,4245,1000,51,8413,9294,2766,3072,2673,5902
+,8518,5698,279,737,9403,4552,5135,5425,3016,8811
+,3312,4650,5762,2858,9096,1155,9691,8434,5655,7532
+,4814,774,4287,3913,3032,3906,5354,6137,6277,8536
+,5700,2561,8800,5223,909,563,3258,1196,1775,9278
+,5606,5277,9936,6437,7603,1513,8877,4660,932,5829
+,7732,1042,1247,4508,5761,9687,1312,6041,5381,9903
+,4740,3188,3883,464,6411,2416,8345,120,8830,5517
+,6610,5789,8602,4806,3402,1155,1774,8588,9302,6138
+,571,2009,9926,3968,3639,7754,4348,5298,6530,8321
-,404,0,0,0,0,0,0,0,0,0
+,4061,1247,7735,4856,29,5043,3401,1628,7878,5440
+,8725,3673,2815,2729,3544,3604,1847,456,7953,7785
+,4159,2945,6678,8714,6850,8755,7489,9757,8427,4255
+,3256,8101,9493,5503,7015,4791,5757,7777,8133,2309
+,9386,274,6100,4494,4267,8561,8238,1532,4420,334
+,7155,8437,2904,6330,735,1443,4564,442,699,4496
+,6712,4004,7550,5531,3564,2692,6888,3688,2446,5064
+,9415,1190,9032,9407,8111,2054,7474,4380,100,695
+,9408,547,7733,4094,6679,561,8745,6050,4666,2963
+,6196,1653,3177,7645,4614,7513,7922,9847,9326,5797
+,6286,5109,2187,2571,8614,9206,8569,700,434,3508
-,555,0,0,0,0,0,0,0,0,0
-,357,0,0,0,0,0,0,0,0,0
+,6415,7885,2877,7447,2226,4698,4392,7665,5399,2363
+,9558,7954,2204,1276,2969,6093,4169,2136,9360,9892
+,9659,576,1796,6853,2984,5661,8083,6158,5459,8593
-,365,0,0,0,0,0,0,0,0,0
+,208,7431,3223,6129,9587,7538,2608,345,9862,2502
+,9557,9467,4496,1402,7883,9993,2390,16,1490,3077
+,4487,5032,9061,8530,9906,9409,448,4281,1984,5269
+,6487,7704,3999,9804,493,8099,1081,6395,1299,7935
+,6951,3195,755,2485,1430,5334,3710,2469,2193,4346
+,9265,4430,2083,1128,4143,7750,9106,2945,8051,6535
+,2970,43,2239,3340,2625,9737,7811,2164,1318,5568
+,9134,4851,9368,2412,7748,1801,3219,1883,424,3347
+,6843,7456,6414,8954,3311,4961,9093,2636,553,6339
+,3967,3688,1388,8711,7575,9771,1212,317,3774,8376
+,6874,5959,9055,5214,1130,201,7826,1789,2538,3910
+,9845,3040,7940,4269,7584,2402,1099,8306,279,4465
+,9438,9952,634,8538,137,2923,7109,4385,4599,6028
+,3983,2618,9563,720,9474,4671,2467,8468,4643,5841
+,5884,6539,4392,7458,8058,3656,7812,6948,802,5082
+,4398,6002,6383,4798,5800,965,6491,9224,5189,3727
-,1000,0,0,0,0,0,0,0,0,0
+,6395,9804,6282,9105,5578,6282,7219,840,9108,9952
-,254,0,0,0,0,0,0,0,0,0
-,470,0,0,0,0,0,0,0,0,0
+,3144,4228,6796,1617,1927,1208,5078,8951,4332,3034
+,4729,6339,8992,6210,3932,7313,354,7749,9575,5430
+,965,7349,9404,662,8393,3174,6644,6125,8621,8052
-,701,0,0,0,0,0,0,0,0,0
-,272,0,0,0,0,0,0,0,0,0
+,8128,4003,9514,699,8362,9784,8761,7508,7614,4851
+,8072,443,631,9003,3646,3566,8808,6926,4212,9187
-,655,0,0,0,0,0,0,0,0,0
-,336,0,0,0,0,0,0,0,0,0
+,2422,2921,4418,3600,7846,535,4527,3301,5838,1129
-,378,0,0,0,0,0,0,0,0,0
+,3483,7517,4153,9413,6744,8743,5176,1411,6593,9561
+,2142,1418,8559,3870,1321,8471,1755,7044,3637,8706
+,634,8520,4882,4634,5687,5194,4479,8671,1241,3374
+,3319,2350,5595,9843,2579,694,1070,4952,6664,7781
+,2703,1328,3342,1190,672,2818,8493,7514,4686,4608
-,102,0,0,0,0,0,0,0,0,0
-,569,0,0,0,0,0,0,0,0,0
+,272,8235,6438,3380,5734,7957,7536,2997,5857,1078
+,6313,9054,8141,570,5456,7665,4547,8648,2621,6527
+,6420,6312,9157,7266,3905,2971,8209,6477,2319,9875
-,857,0,0,0,0,0,0,0,0,0
+,6616,1516,3368,9279,463,9057,2101,8306,6026,2235
+,3050,4477,3716,2018,9086,7012,4924,7727,4425,5244
+,1933,1834,7833,5548,8509,7031,2663,3828,5485,433
+,9635,6557,6841,9908,8816,3570,1389,9176,9841,4342
-,479,0,0,0,0,0,0,0,0,0
+,823,8760,826,3100,4187,5063,3282,7981,7581,7074
-,302,0,0,0,0,0,0,0,0,0
+,7444,8450,7109,4027,6686,648,3097,827,6008,6586
+,7429,2177,3016,9878,8455,3650,3807,8202,1517,910
+,7658,6893,1013,9079,64,9151,2119,7613,2327,930
+,6761,1407,5328,9169,4776,3539,4051,315,6431,8137
+,8526,1434,2946,8123,36,7977,1789,7814,2513,2096
+,2382,9458,4039,9062,7370,5255,3203,7423,3950,7447
-,843,0,0,0,0,0,0,0,0,0
+,7731,1637,1801,9998,5154,656,8155,7978,7767,4451
+,9839,3930,6864,4290,3986,9308,5107,5190,9626,8531
+,7612,3308,933,4909,6903,8482,5853,3487,2602,6324
+,5082,3158,7264,9831,7321,9957,2048,223,3046,634
+,2336,8376,474,163,7967,1364,5731,9531,2555,6868
+,233,6568,1123,7483,8470,6152,8738,4925,2934,1349
+,7893,4879,7692,4339,1214,4346,6179,9502,5386,5462
-,932,0,0,0,0,0,0,0,0,0
+,4338,7968,7297,1364,8189,247,6848,1315,6401,8179
+,5840,2818,9082,3648,4613,7354,6433,4048,1181,4313
+,3317,1117,8189,9943,9962,8729,2383,5684,5061,1195
+,7811,8620,364,3728,7337,4333,4389,5439,53,4983
-,1,0,0,0,0,0,0,0,0,0
+,2469,2134,7855,1599,1963,5523,7951,8769,5041,4769
+,2300,9347,8306,1031,6986,5512,9553,5763,4838,696
+,3075,347,3037,5804,9205,6104,5680,4206,573,9817
+,2639,9061,8482,6636,3287,721,4532,9087,3025,7135
+,4290,8448,8129,6567,4844,9293,1629,7061,8390,5207
+,9853,104,3739,4558,1647,1441,1821,7523,6723,403
+,9648,6449,2778,4239,2876,1740,4724,9603,830,2258
-,892,0,0,0,0,0,0,0,0,0
+,4024,7638,9703,7607,5844,9495,1329,9178,1377,1825
+,4148,9266,6819,437,4460,7645,8677,9968,7907,8437
-,34,0,0,0,0,0,0,0,0,0
+,9760,6987,1573,623,6115,5096,3846,2283,5063,6847
+,6158,3814,9709,1622,6505,128,6201,4476,381,5942
+,1160,2237,9497,1964,6034,457,2290,8954,2213,2009
-,850,0,0,0,0,0,0,0,0,0
+,5036,2872,3142,3465,1615,8256,1109,2696,7617,649
-,294,0,0,0,0,0,0,0,0,0
+,7470,4212,2729,8054,8981,7177,5276,4277,1411,9169
+,7077,9581,4507,6397,2352,2211,8563,348,2844,2891
+,373,3670,4564,6106,4692,8150,8689,4470,5851,8667
-,194,0,0,0,0,0,0,0,0,0
+,5510,7654,2532,7568,5486,9367,4371,4651,7760,5719
+,4408,2590,5018,2184,2910,2726,1559,4251,6766,4102
+,3206,242,8850,1901,8339,5129,4465,818,8262,7743
+,5595,621,5436,6206,2331,513,8590,446,2899,2564
+,256,2038,6019,9385,2289,1773,2284,1019,1484,9093
+,295,1259,128,1494,7177,7511,5493,5421,6214,6709
-,250,0,0,0,0,0,0,0,0,0
+,1573,608,6611,8688,1997,2644,1497,2287,4531,1869
+,7632,207,1377,9320,7674,9197,7666,5099,3759,6084
+,6416,3556,4678,8887,5886,6685,4812,8268,507,3457
+,7669,4000,8978,4326,8307,7313,7588,9972,5954,9652
+,1537,2323,7377,37,5002,3944,9625,8565,3396,6370
+,2620,6326,8022,3805,9870,954,8723,3474,2725,7296
+,5988,4142,440,5979,2012,6788,6410,3930,4639,2525
